Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
Goku,10,Emperor Pilaf Saga,Dragon Ball
Bulma,1.5,Emperor Pilaf Saga,Dragon Ball
Bear Thief,7,Emperor Pilaf Saga,Dragon Ball
Master Roshi,30,Emperor Pilaf Saga,Dragon Ball
Oolong,5,Emperor Pilaf Saga,Dragon Ball
Yamcha,8.5,Emperor Pilaf Saga,Dragon Ball
Puar,4,Emperor Pilaf Saga,Dragon Ball
Goku (hungry),8,Emperor Pilaf Saga,Dragon Ball
Ox-King,25,Emperor Pilaf Saga,Dragon Ball
Chi-chi,6,Emperor Pilaf Saga,Dragon Ball
Master Roshi (Max power),100,Emperor Pilaf Saga,Dragon Ball
Master Roshi's Max Power Kamehameha,180,Emperor Pilaf Saga,Dragon Ball
Goku's Kamehameha,12,Emperor Pilaf Saga,Dragon Ball
Great Ape Goku,100,Emperor Pilaf Saga,Dragon Ball
Goku,28,Tournament Saga,Dragon Ball
Master Roshi,40,Tournament Saga,Dragon Ball
Krillin,9,Tournament Saga,Dragon Ball
Launch (bad),7,Tournament Saga,Dragon Ball
Launch (good),4,Tournament Saga,Dragon Ball
Goku (Master Roshi's training),37,Tournament Saga,Dragon Ball
Krillin (Master Roshi's training),24,Tournament Saga,Dragon Ball
Jackie Chun,50,Tournament Saga,Dragon Ball
Yamcha,21,Tournament Saga,Dragon Ball
Bacterian,8,Tournament Saga,Dragon Ball
Nam,20,Tournament Saga,Dragon Ball
Ranfan,14,Tournament Saga,Dragon Ball
Giran,33,Tournament Saga,Dragon Ball
Goku (tail regrown),57,Tournament Saga,Dragon Ball
Great Aper Goku,570,Tournament Saga,Dragon Ball
Jackie Chun (Max power),250,Tournament Saga,Dragon Ball
Jackie Chun's Max power Kamehamha,330,Tournament Saga,Dragon Ball
Goku (weakened),24,Tournament Saga,Dragon Ball
Jackie Chun (weakened),45,Tournament Saga,Dragon Ball
Goku,66,Red Ribbon Army Saga,Dragon Ball
Colonel Silver,20,Red Ribbon Army Saga,Dragon Ball
Commander Red,5,Red Ribbon Army Saga,Dragon Ball
Major Metarillitron,55,Red Ribbon Army Saga,Dragon Ball
Goku's Kamehameha,90,Red Ribbon Army Saga,Dragon Ball
Ninja Murasaki,40,Red Ribbon Army Saga,Dragon Ball
Android 8,67,Red Ribbon Army Saga,Dragon Ball
Buyon,58,Red Ribbon Army Saga,Dragon Ball
General White,50,Red Ribbon Army Saga,Dragon Ball
General Blue,72,Red Ribbon Army Saga,Dragon Ball
Krillin,42,Red Ribbon Army Saga,Dragon Ball
Arale,35,Red Ribbon Army Saga,Dragon Ball
Captain Yellow,18,Red Ribbon Army Saga,Dragon Ball
Bora,34,Red Ribbon Army Saga,Dragon Ball
Mercenary Tao,110,Red Ribbon Army Saga,Dragon Ball
Goku's Kamehameha,90,Red Ribbon Army Saga,Dragon Ball
Mercenary Tao's Dodon Ray,115,Red Ribbon Army Saga,Dragon Ball
Korin,190,Red Ribbon Army Saga,Dragon Ball
Goku (Korin's training),95,Red Ribbon Army Saga,Dragon Ball
Yamcha,45,Red Ribbon Army Saga,Dragon Ball
Officer Black,30,Red Ribbon Army Saga,Dragon Ball
Goku,95,Fortune Teller Baba Saga,Dragon Ball
Krillin,65,Fortune Teller Baba Saga,Dragon Ball
Yamcha,45,Fortune Teller Baba Saga,Dragon Ball
Fangs the Vampire,22,Fortune Teller Baba Saga,Dragon Ball
Invisible Man,30,Fortune Teller Baba Saga,Dragon Ball
Bandages the Mummy,78,Fortune Teller Baba Saga,Dragon Ball
Spike the Devil Man,90,Fortune Teller Baba Saga,Dragon Ball
Grandpa Gohan,125,Fortune Teller Baba Saga,Dragon Ball
Master Shen,120,Tien Shinhan Saga,Dragon Ball
Master Roshi,139,Tien Shinhan Saga,Dragon Ball
King Chappa,76,Tien Shinhan Saga,Dragon Ball
Yamcha,126,Tien Shinhan Saga,Dragon Ball
"Tien (suppressed, fighting Yamcha)",140,Tien Shinhan Saga,Dragon Ball
Krillin,130,Tien Shinhan Saga,Dragon Ball
Chaoitzu,106,Tien Shinhan Saga,Dragon Ball
Pamput,71,Tien Shinhan Saga,Dragon Ball
"Jackie Chun (suppressed, fighting Tien)",139,Tien Shinhan Saga,Dragon Ball
"Tien (suppressed, fighting Jackie Chun)",140,Tien Shinhan Saga,Dragon Ball
Jackie Chun (50%),180,Tien Shinhan Saga,Dragon Ball
Tien (full power),180,Tien Shinhan Saga,Dragon Ball
Goku,180,Tien Shinhan Saga,Dragon Ball
Tien's Tri Beam,985,Tien Shinhan Saga,Dragon Ball
Tamborine,150,King Piccolo Saga,Dragon Ball
Master Mutaito,128,King Piccolo Saga,Dragon Ball
Goku (weakened),134,King Piccolo Saga,Dragon Ball
Yajirobe,140,King Piccolo Saga,Dragon Ball
Cymbal,115,King Piccolo Saga,Dragon Ball
Goku (full power),180,King Piccolo Saga,Dragon Ball
King Piccolo (old),220,King Piccolo Saga,Dragon Ball
Tien,180,King Piccolo Saga,Dragon Ball
Chiatzu,106,King Piccolo Saga,Dragon Ball
Master Roshi,139,King Piccolo Saga,Dragon Ball
"King Piccolo (young, suppressed)",240,King Piccolo Saga,Dragon Ball
Bora,74,King Piccolo Saga,Dragon Ball
Yajirobe (after climbing tower),145,King Piccolo Saga,Dragon Ball
Korin,190,King Piccolo Saga,Dragon Ball
Goku (Ultra Divine Water),260,King Piccolo Saga,Dragon Ball
Drum,210,King Piccolo Saga,Dragon Ball
"King Piccolo (full power, fighting Goku)",260,King Piccolo Saga,Dragon Ball
King Piccolo's Exlposive Demon Wave,380,King Piccolo Saga,Dragon Ball
King Piccolo (weakened),230,King Piccolo Saga,Dragon Ball
Goku (weakened),225,King Piccolo Saga,Dragon Ball
Goku's Penetrate!,320,King Piccolo Saga,Dragon Ball
Yamcha,126,King Piccolo Saga,Dragon Ball
Krillin,130,King Piccolo Saga,Dragon Ball
Mr. Popo,"1,030",King Piccolo Saga,Dragon Ball
Kami,220,King Piccolo Saga,Dragon Ball
Master Roshi,139,Piccolo Jr. Saga,Dragon Ball
Krillin,195,Piccolo Jr. Saga,Dragon Ball
Yamcha,162,Piccolo Jr. Saga,Dragon Ball
Tien,240,Piccolo Jr. Saga,Dragon Ball
Yajirobe,148,Piccolo Jr. Saga,Dragon Ball
Chiaotzu,137,Piccolo Jr. Saga,Dragon Ball
Cyborg Tao,210,Piccolo Jr. Saga,Dragon Ball
Piccolo (weighted),260,Piccolo Jr. Saga,Dragon Ball
Goku (weighted),265,Piccolo Jr. Saga,Dragon Ball
Chi-chi,130,Piccolo Jr. Saga,Dragon Ball
King Chappa,90,Piccolo Jr. Saga,Dragon Ball
Goku,331,Piccolo Jr. Saga,Dragon Ball
Piccolo,325,Piccolo Jr. Saga,Dragon Ball
Goku's Super Kamehameha,740,Piccolo Jr. Saga,Dragon Ball
Farmer (without shotgun),2,Saiyan Saga,Dragon Ball Z
Farmer (with shotgun),5,Saiyan Saga,Dragon Ball Z
Raditz,"1,200",Saiyan Saga,Dragon Ball Z
Gohan,1,Saiyan Saga,Dragon Ball Z
Piccolo (weighted),326,Saiyan Saga,Dragon Ball Z
Goku (weighted),334,Saiyan Saga,Dragon Ball Z
Krillin,206,Saiyan Saga,Dragon Ball Z
Bulma,1.5,Saiyan Saga,Dragon Ball Z
Roshi,139,Saiyan Saga,Dragon Ball Z
Gohan (angry),710,Saiyan Saga,Dragon Ball Z
Piccolo,408,Saiyan Saga,Dragon Ball Z
Goku,416,Saiyan Saga,Dragon Ball Z
Goku's Kamehameha,950,Saiyan Saga,Dragon Ball Z
Piccolo's Special Beam Cannon,"1,320",Saiyan Saga,Dragon Ball Z
Gohan (Angry),"1,307",Saiyan Saga,Dragon Ball Z
Raditz (weakened),490,Saiyan Saga,Dragon Ball Z
Piccolo's Special Beam Cannon,"1,420",Saiyan Saga,Dragon Ball Z
Tien,250,Saiyan Saga,Dragon Ball Z
Chiaotzu,145,Saiyan Saga,Dragon Ball Z
Yamcha,177,Saiyan Saga,Dragon Ball Z
Yajirobe,150,Saiyan Saga,Dragon Ball Z
Kami,220,Saiyan Saga,Dragon Ball Z
Mr. Popo,"1,090",Saiyan Saga,Dragon Ball Z
King Yema,"1,700",Saiyan Saga,Dragon Ball Z
King Kai,"3,500",Saiyan Saga,Dragon Ball Z
Nappa,"4,000",Saiyan Saga,Dragon Ball Z
Piccolo (suppressed),"1,400",Saiyan Saga,Dragon Ball Z
Gohan (suppressed),"1,083",Saiyan Saga,Dragon Ball Z
Krillin (suppressed),"1,100",Saiyan Saga,Dragon Ball Z
Tien,"1,830",Saiyan Saga,Dragon Ball Z
Chiaotzu,650,Saiyan Saga,Dragon Ball Z
Yamcha,"1,480",Saiyan Saga,Dragon Ball Z
Saibamen,"1,200",Saiyan Saga,Dragon Ball Z
Saibamen Explosion,"3,750",Saiyan Saga,Dragon Ball Z
Krillin (full power),"1,770",Saiyan Saga,Dragon Ball Z
Nappa (powered up),"4,500",Saiyan Saga,Dragon Ball Z
Piccolo (full power),"3,500",Saiyan Saga,Dragon Ball Z
Chiaotzu's Explosion,"3,800",Saiyan Saga,Dragon Ball Z
Tien's Spirit Tri Beam,"3,980",Saiyan Saga,Dragon Ball Z
Gohan (angry),"2,800",Saiyan Saga,Dragon Ball Z
Goku (suppressed),"5,000",Saiyan Saga,Dragon Ball Z
Nappa's Bomber DX,"5,680",Saiyan Saga,Dragon Ball Z
Goku,"8,200",Saiyan Saga,Dragon Ball Z
Nappa (full power),"7,500",Saiyan Saga,Dragon Ball Z
Goku (Kaio-ken),"12,300",Saiyan Saga,Dragon Ball Z
Vegeta (suppressed),"14,000",Saiyan Saga,Dragon Ball Z
Vegeta (full power),"18,000",Saiyan Saga,Dragon Ball Z
Goku (Kaio-ken x2),"16,400",Saiyan Saga,Dragon Ball Z
Goku (Kaio-ken x3),"24,600",Saiyan Saga,Dragon Ball Z
Yajirobe,910,Saiyan Saga,Dragon Ball Z
Vegeta's Galick Gun,"35,000",Saiyan Saga,Dragon Ball Z
Goku's Kamehameha x3,"36,000",Saiyan Saga,Dragon Ball Z
Goku (Kaio-ken x4),"32,800",Saiyan Saga,Dragon Ball Z
Goku's Kamehameha x4,"44,000",Saiyan Saga,Dragon Ball Z
Vegeta (weakened),"13,500",Saiyan Saga,Dragon Ball Z
Vegeta (Great Ape),"180,000",Saiyan Saga,Dragon Ball Z
Goku's Spirit Bomb,"400,000",Saiyan Saga,Dragon Ball Z
Goku (legs crushed),750,Saiyan Saga,Dragon Ball Z
Goku (badly injured),2,Saiyan Saga,Dragon Ball Z
Vegeta (weakened),"5,100",Saiyan Saga,Dragon Ball Z
Krillin (injured),845,Saiyan Saga,Dragon Ball Z
Gohan (fighting Vegeta),"2,800",Saiyan Saga,Dragon Ball Z
Krillin's Fusion Spirit Bomb,"4,800",Saiyan Saga,Dragon Ball Z
Vegeta (weakened),"1,900",Saiyan Saga,Dragon Ball Z
Krillin (weakened),600,Saiyan Saga,Dragon Ball Z
Gohan (weakened),420,Saiyan Saga,Dragon Ball Z
Gohan (Great Ape),"10,000",Saiyan Saga,Dragon Ball Z
Vegeta (badly injured),22,Saiyan Saga,Dragon Ball Z
Gohan,"2,000",Namek Saga,Dragon Ball Z
Krillin,"2,000",Namek Saga,Dragon Ball Z
Bulma,4,Namek Saga,Dragon Ball Z
Frieza (calm),"220,000",Namek Saga,Dragon Ball Z
Dodoria,"22,000",Namek Saga,Dragon Ball Z
Zarbon,"23,000",Namek Saga,Dragon Ball Z
Namekians,"1,000",Namek Saga,Dragon Ball Z
Namekian Warriors,"3,000",Namek Saga,Dragon Ball Z
Dende,3,Namek Saga,Dragon Ball Z
Cui,"18,000",Namek Saga,Dragon Ball Z
Vegeta (Zenkai),"24,000",Namek Saga,Dragon Ball Z
Goku (Zenkai),"12,000",Namek Saga,Dragon Ball Z
Krillin (potential unlocked),"13,000",Namek Saga,Dragon Ball Z
Zarbon (transformed),"28,500",Namek Saga,Dragon Ball Z
Appule,"5,000",Namek Saga,Dragon Ball Z
Vegeta (Zenkai),"30,000",Namek Saga,Dragon Ball Z
Gohan (potential unlocked),"14,000",Namek Saga,Dragon Ball Z
Nail (suppressed),"17,000",Namek Saga,Dragon Ball Z
Vegeta (suppressed),"23,000",Ginyu Force Saga,Dragon Ball Z
Krillin (suppressed),"8,500",Ginyu Force Saga,Dragon Ball Z
Gohan (suppressed),"8,500",Ginyu Force Saga,Dragon Ball Z
Guldo,"11,000",Ginyu Force Saga,Dragon Ball Z
Krillin,"13,000",Ginyu Force Saga,Dragon Ball Z
Gohan,"14,000",Ginyu Force Saga,Dragon Ball Z
Vegeta,"30,000",Ginyu Force Saga,Dragon Ball Z
Vegeta's Final Crash,"40,000",Ginyu Force Saga,Dragon Ball Z
Recoome,"45,000",Ginyu Force Saga,Dragon Ball Z
Recoome's Eraser Gun,"58,000",Ginyu Force Saga,Dragon Ball Z
Gohan (angry),"20,000",Ginyu Force Saga,Dragon Ball Z
Goku (suppressed),"5,000",Ginyu Force Saga,Dragon Ball Z
Goku,"90,000",Ginyu Force Saga,Dragon Ball Z
Burter,"45,000",Ginyu Force Saga,Dragon Ball Z
Jeice,"45,000",Ginyu Force Saga,Dragon Ball Z
Jeice's Crusher Ball,"56,000",Ginyu Force Saga,Dragon Ball Z
Ginyu (supressed),"65,000",Captain Ginyu Saga,Dragon Ball Z
Goku (supressed),"62,000",Captain Ginyu Saga,Dragon Ball Z
Ginyu (supressed),"87,000",Captain Ginyu Saga,Dragon Ball Z
Goku,"90,000",Captain Ginyu Saga,Dragon Ball Z
Goku (Kaio-ken x2),"180,000",Captain Ginyu Saga,Dragon Ball Z
Ginyu (full power),"120,000",Captain Ginyu Saga,Dragon Ball Z
Ginyu (in Goku's body),"23,000",Captain Ginyu Saga,Dragon Ball Z
Gohan (Zenkai),"19,000",Captain Ginyu Saga,Dragon Ball Z
Krillin,"18,000",Captain Ginyu Saga,Dragon Ball Z
Vegeta (Zenkai),"250,000",Captain Ginyu Saga,Dragon Ball Z
Goku (in Ginyu's body),"15,000",Captain Ginyu Saga,Dragon Ball Z
Goku (badly injured),200,Captain Ginyu Saga,Dragon Ball Z
Nail,"42,000",Captain Ginyu Saga,Dragon Ball Z
Frieza (calm),"220,000",Captain Ginyu Saga,Dragon Ball Z
Gohan,"80,000",Frieza Saga,Dragon Ball Z
Krillin,"75,000",Frieza Saga,Dragon Ball Z
Dende (potential unlocked),6,Frieza Saga,Dragon Ball Z
Vegeta (rested),"490,000",Frieza Saga,Dragon Ball Z
Frieza,"530,000",Frieza Saga,Dragon Ball Z
Tien,"85,000",Frieza Saga,Dragon Ball Z
Chiaotzu,"25,000",Frieza Saga,Dragon Ball Z
Yamcha,"68,000",Frieza Saga,Dragon Ball Z
Piccolo (weighted),"225,000",Frieza Saga,Dragon Ball Z
Piccolo,"300,000",Frieza Saga,Dragon Ball Z
"Piccolo (suppressed, after fusion with Nail)","800,000",Frieza Saga,Dragon Ball Z
2nd form Frieza (suppressed),"750,000",Frieza Saga,Dragon Ball Z
Gohan (angry),"700,000",Frieza Saga,Dragon Ball Z
Frieza (powered up),"800,000",Frieza Saga,Dragon Ball Z
Gohan (Zenkai),"200,000",Frieza Saga,Dragon Ball Z
Piccolo (fighting Frieza),"820,000",Frieza Saga,Dragon Ball Z
"Piccolo (powered up ,weighted)","900,000",Frieza Saga,Dragon Ball Z
2nd form Frieza (full power),"1,060,000",Frieza Saga,Dragon Ball Z
Piccolo (full power),"1,200,000",Frieza Saga,Dragon Ball Z
Frieza (3rd form),"2,120,000",Frieza Saga,Dragon Ball Z
Gohan (angry),"1,500,000",Frieza Saga,Dragon Ball Z
Gohan's attack on Frieza,"1,950,000",Frieza Saga,Dragon Ball Z
Frieza (final form),"3,000,000",Frieza Saga,Dragon Ball Z
Vegeta (Zenkai),"2,850,000",Frieza Saga,Dragon Ball Z
Vegeta's Final Burst Cannon,"3,000,000",Frieza Saga,Dragon Ball Z
Vegeta (weakened),"1,600,000",Frieza Saga,Dragon Ball Z
Goku (Zenkai),"1,500,000",Frieza Saga,Dragon Ball Z
"Frieza (10% power, no hands)","12,000,000",Frieza Saga,Dragon Ball Z
Goku (Kaio-ken x2),"3,000,000",Frieza Saga,Dragon Ball Z
Goku (Kaio-ken x 3),"4,500,000",Frieza Saga,Dragon Ball Z
Frieza (50% power),"60,000,000",Frieza Saga,Dragon Ball Z
Goku (Kaio-ken x10),"15,000,000",Frieza Saga,Dragon Ball Z
Goku (Kaio-ken x20),"30,000,000",Frieza Saga,Dragon Ball Z
Piccolo (Gohan and Krillin's energy),"1,475,000",Frieza Saga,Dragon Ball Z
Goku's Spirit Bomb,"55,000,000",Frieza Saga,Dragon Ball Z
Goku,"3,000,000",Frieza Saga,Dragon Ball Z
Goku (SSJ),"150,000,000",Frieza Saga,Dragon Ball Z
Gohan,"1,500,000",Frieza Saga,Dragon Ball Z
Frieza (70% power),"84,000,000",Frieza Saga,Dragon Ball Z
Frieza (100% power),"120,000,000",Frieza Saga,Dragon Ball Z
Freiza (weakening),"80,000,000",Frieza Saga,Dragon Ball Z
"Frieza (cut in half, with Goku's energy)","20,000,000",Frieza Saga,Dragon Ball Z
Frieza's attack,"62,000,000",Frieza Saga,Dragon Ball Z
Goku's Angry Kamehameha,"180,000,000",Frieza Saga,Dragon Ball Z
Gohan,"3,000,000",Trunks Saga,Dragon Ball Z
Krillin,"150,000",Trunks Saga,Dragon Ball Z
Yamcha,"136,000",Trunks Saga,Dragon Ball Z
Vegeta,"5,700,000",Trunks Saga,Dragon Ball Z
Tien,"170,000",Trunks Saga,Dragon Ball Z
Chiaotzu,"50,000",Trunks Saga,Dragon Ball Z
Piccolo,"2,400,000",Trunks Saga,Dragon Ball Z
Bulma,1.5,Trunks Saga,Dragon Ball Z
Mecha Frieza (50%),"60,750,000",Trunks Saga,Dragon Ball Z
King Cold,"290,000,000",Trunks Saga,Dragon Ball Z
Future Trunks (suppressed),5,Trunks Saga,Dragon Ball Z
Future Trunks,"6,000,000",Trunks Saga,Dragon Ball Z
Future Trunks (SSJ),"300,000,000",Trunks Saga,Dragon Ball Z
Mecha Freiza's Death Blaster,"123,000,000",Trunks Saga,Dragon Ball Z
Mecha Frieza (100%),"121,500,000",Trunks Saga,Dragon Ball Z
Mecha Frieza's Supernova,"200,000,000",Trunks Saga,Dragon Ball Z
Goku,"6,000,000",Trunks Saga,Dragon Ball Z
Goku (SSJ),"300,000,000",Trunks Saga,Dragon Ball Z
Future Android 18,"5,000,000,000",Trunks Saga,Dragon Ball Z
Future Android 17,"5,000,000,000",Trunks Saga,Dragon Ball Z
Gohan,"9,000,000",Android Saga,Dragon Ball Z
Goku,"18,000,000",Android Saga,Dragon Ball Z
Piccolo (weighted),"5,150,000",Android Saga,Dragon Ball Z
Krillin,"450,000",Android Saga,Dragon Ball Z
Yamcha,"408,000",Android Saga,Dragon Ball Z
Tien,"510,000",Android Saga,Dragon Ball Z
Yajirobe,"3,000",Android Saga,Dragon Ball Z
Android 20,"210,000,000",Android Saga,Dragon Ball Z
Android 19,"190,000,000",Android Saga,Dragon Ball Z
Android 20 (after absorbing Yamcha's energy),"280,000,000",Android Saga,Dragon Ball Z
Goku (SSJ),"900,000,000",Android Saga,Dragon Ball Z
"Goku (SSJ, heart disease)","587,500,000",Android Saga,Dragon Ball Z
"Goku (SSJ, heart disease)","243,750,000",Android Saga,Dragon Ball Z
Android 19 (Goku's kamehameha absorbed),"230,000,000",Android Saga,Dragon Ball Z
"Goku (SSJ, heart disease)","81,000,000",Android Saga,Dragon Ball Z
Vegeta,"17,100,000",Android Saga,Dragon Ball Z
Android 19 (Goku's energy absorbed),"300,000,000",Android Saga,Dragon Ball Z
Vegeta (SSJ),"855,000,000",Android Saga,Dragon Ball Z
Vegeta's Big Bang Attack,"1,000,000,000",Android Saga,Dragon Ball Z
Vegeta (weakened),"12,500,000",Android Saga,Dragon Ball Z
"Vegeta (SSJ, full power again)","855,000,000",Android Saga,Dragon Ball Z
Android 20 (Vegeta's attack absorbed),"310,000,000",Android Saga,Dragon Ball Z
Android 20 (Piccolo's energy absorbed),"350,000,000",Android Saga,Dragon Ball Z
Piccolo,"7,200,000",Android Saga,Dragon Ball Z
Piccolo (full power),"180,000,000",Android Saga,Dragon Ball Z
Android 18,"5,000,000,000",Android Saga,Dragon Ball Z
Android 17,"5,000,000,000",Android Saga,Dragon Ball Z
Future Trunks,"18,000,000",Android Saga,Dragon Ball Z
Future Trunks (SSJ),"900,000,000",Android Saga,Dragon Ball Z
Imperfect Cell,"450,000,000",Imperfect Cell Saga,Dragon Ball Z
"Piccolo (after merging with Kami, weighted)","6,350,000",Imperfect Cell Saga,Dragon Ball Z
Goku,"18,000,000",Imperfect Cell Saga,Dragon Ball Z
Goku (SSJ),"900,000,000",Imperfect Cell Saga,Dragon Ball Z
"Piccolo (full power, fighting Android 17)","720,000,000",Imperfect Cell Saga,Dragon Ball Z
Imperfect Cell (Maximum humans absorbed),"800,000,000",Imperfect Cell Saga,Dragon Ball Z
Piccolo's Light Grenade,"1,500,000,000",Imperfect Cell Saga,Dragon Ball Z
Android 16,"3,000,000,000",Imperfect Cell Saga,Dragon Ball Z
Semi-Perfect Cell (suppressed),"1,500,000,000",Perfect Cell Saga,Dragon Ball Z
Android 16 (weakened),"2,250,000,000",Perfect Cell Saga,Dragon Ball Z
Tien's Neo Tri Beam,"1,000,000",Perfect Cell Saga,Dragon Ball Z
Chiaotzu,"50,000",Perfect Cell Saga,Dragon Ball Z
Vegeta (post-HTC),"51,300,000",Perfect Cell Saga,Dragon Ball Z
Vegeta (SSJ),"2,565,000,000",Perfect Cell Saga,Dragon Ball Z
Future Trunks (post-HTC),"54,000,000",Perfect Cell Saga,Dragon Ball Z
Future Trunks (SSJ),"2,700,000,000",Perfect Cell Saga,Dragon Ball Z
Vegeta (ASSJ),"3,847,500,000",Perfect Cell Saga,Dragon Ball Z
Semi- Perfect Cell (full power),"2,000,000,000",Perfect Cell Saga,Dragon Ball Z
Trunks (ASSJ),"4,050,000,000",Perfect Cell Saga,Dragon Ball Z
Perfect Cell (suppressed),"5,000,000,000",Perfect Cell Saga,Dragon Ball Z
Perfect Cell (suppressed),"6,800,000,000",Perfect Cell Saga,Dragon Ball Z
Vegeta's Final Flash,"4,200,000,000",Perfect Cell Saga,Dragon Ball Z
Future Trunks (USSJ),"12,150,000,000",Perfect Cell Saga,Dragon Ball Z
Perfect Cell (suppressed),"10,000,000,000",Perfect Cell Saga,Dragon Ball Z
"Future Trunks (USSJ, Inexperienced Power Up)","16,200,000,000",Perfect Cell Saga,Dragon Ball Z
Power-weighted Cell,"112,500,000,000",Perfect Cell Saga,Dragon Ball Z
Goku,"18,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Gohan,"9,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku (SSJ),"900,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Gohan (SSJ),"450,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku,"180,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Gohan (SSJ),"4,500,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Gohan,"90,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku (SSJ),"9,000,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku (ASSJ),"13,500,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku (USSJ),"40,500,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku,"400,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Gohan,"350,000,000",Goku And Gohan in The Hyperbolic Time Chamber,Dragon Ball Z
Goku (Post-HTC),"400,000,000",Cell Games Saga,Dragon Ball Z
Gohan (Post-HTC),"350,000,000",Cell Games Saga,Dragon Ball Z
Tien,"600,000",Cell Games Saga,Dragon Ball Z
Krillin,"500,000",Cell Games Saga,Dragon Ball Z
