Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
Piccolo's Special Beam Cannon (remake),"13,500,000,000",OVA: Plan to Eradicate the Super Saiyans,Dragon Ball Z
King Kai,"3,500",Movie 9: Bojack Unbound,Dragon Ball Z
Goku,"400,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Mr. Satan,40,Movie 9: Bojack Unbound,Dragon Ball Z
Krillin,"500,000",Movie 9: Bojack Unbound,Dragon Ball Z
Chi-chi,130,Movie 9: Bojack Unbound,Dragon Ball Z
Master Roshi,139,Movie 9: Bojack Unbound,Dragon Ball Z
Yamcha,"450,000",Movie 9: Bojack Unbound,Dragon Ball Z
Gohan,"360,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Tien,"600,000",Movie 9: Bojack Unbound,Dragon Ball Z
"Trunks (supressed, fighting Tien)","1,150,000",Movie 9: Bojack Unbound,Dragon Ball Z
Tien (Spirit Burst),"1,800,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks (SSJ),"5,400,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Vegeta,"205,200,000",Movie 9: Bojack Unbound,Dragon Ball Z
Piccolo (weighted),"14,400,000",Movie 9: Bojack Unbound,Dragon Ball Z
Zangya,"1,310,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Gohan,"360,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks,"108,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Kogu (full power form),"4,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks (SSJ),"5,400,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bujin,"1,340,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bido,"1,340,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
"Gohan (MSSJ, supressed)","15,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Piccolo (full power),"7,200,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bojack,"20,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Trunks (ASSJ),"8,100,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Vegeta (ASSJ),"15,390,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Bojack (full power form),"30,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
"Gohan (MSSJ, full power)","18,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Goku (punching Bojack),"4,300,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Gohan (SSJ2),"36,000,000,000",Movie 9: Bojack Unbound,Dragon Ball Z
Videl,5,Movie 10: Broly- The Second Coming,Dragon Ball Z
Trunks,"10,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goten,"9,800,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly (Zenkai),"500,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goten (SSJ),"490,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Trunks (SSJ),"500,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly (SSJ),"25,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Gohan (fighting Broly),"360,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Gohan (SSJ2),"36,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly (LSSJ),"75,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Krillin,"1,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Gohan (MSSJ),"18,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Broly's Omega Blaster,"130,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goku,"2,800,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Family Kamehameha,"300,000,000,000",Movie 10: Broly- The Second Coming,Dragon Ball Z
Mr. Satan,7,Movie 11: Bio-Broly,Dragon Ball Z
Android 18,"8,000,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Krillin,"1,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten,"9,800,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunks,"10,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Bio-Broly,"700,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten (SSJ),"490,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunks (SSJ),"500,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Krillin's Kamehameha,"8,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten's Kamehameha,"950,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunk's Kamehameha,"980,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Goten's Super Kamehameha,"3,000,000,000",Movie 11: Bio-Broly,Dragon Ball Z
Trunk's Big Tree Cannon,"3,150,000,000",Movie 11: Bio-Broly,Dragon Ball Z
King Yenma,"1,700",Movie 12: Fusion Reborn,Dragon Ball Z
King Kai,"3,500",Movie 12: Fusion Reborn,Dragon Ball Z
Goku,"2,800,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Pikkon (supressed),"1,600,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gohan,"360,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goten,"9,800,000",Movie 12: Fusion Reborn,Dragon Ball Z
Videl,5,Movie 12: Fusion Reborn,Dragon Ball Z
Chi-chi,130,Movie 12: Fusion Reborn,Dragon Ball Z
Janemba,"400,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Mr. Satan,6,Movie 12: Fusion Reborn,Dragon Ball Z
Frieza,"140,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gohan (fighting Frieza),"360,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Trunks,"10,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Pikkon (full power),"40,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goku (MSSJ),"140,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goku (SSJ3),"1,120,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Goten (SSJ),"490,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Trunks (SSJ),"500,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (supressed),"1,500,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (supressed),"3,000,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (supressed),"7,500,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Vegeta (SSJ2),"280,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Vegeta,"2,800,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Veku,"56,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gogeta (MSSJ),"28,000,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Gotenks (SSJ),"99,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Super Janemba (full power),"14,000,000,000,000",Movie 12: Fusion Reborn,Dragon Ball Z
Great Saiyaman,200,Movie 13: Wrath of the Dragon,Dragon Ball Z
Great Saiyawoman,5,Movie 13: Wrath of the Dragon,Dragon Ball Z
Hoi,20,Movie 13: Wrath of the Dragon,Dragon Ball Z
Bulma,1.5,Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku,"2,800,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goten,"19,600,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Krillin,"2,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Trunks,"20,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Gohan,"40,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Tapion,"3,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Master Roshi,139,Movie 13: Wrath of the Dragon,Dragon Ball Z
Hirudegarn (legs),"200,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Ultimate Gohan,"4,000,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku (SSJ2),"280,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goten (SSJ),"980,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Vegeta,"2,800,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Vegeta (SSJ2),"280,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Hirudegarn,"1,000,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Trunks (SSJ),"200,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Gotenks (SSJ3),"1,584,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Hirudegarn (transformed),"2,000,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku (SSJ3),"1,120,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Goku's Super Dragon Fist,"3,500,000,000,000",Movie 13: Wrath of the Dragon,Dragon Ball Z
Bardock (Great Ape),"50,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Tora (Great Ape),"40,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Shugesh (Great Ape),"35,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Borgos (Great Ape),"38,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Fasha (Great Ape),"32,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Bardock,"5,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Tora,"4,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Shugesh,"3,500",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Borgos,"3,800",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Fasha,"3,200",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Toolo,"4,500",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Saibamen,"1,200",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Vegeta,"12,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Nappa (calm),"4,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frieza (calm),"220,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Zarbon,"22,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Dodoria,"21,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Bardock (Zenkai),"10,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Horned gang leader,"7,800",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Appule look-alike,"5,800",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Green fish-like soldier,"6,400",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frog-like soldier,"6,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Dodoria's mouth blast,"22,500",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frieza,"530,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Bardock's Final Spirit Cannon,"24,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Frieza's Supernova,"750,000",Dragon Ball Z: Bardock-Father of Goku,Dragon Ball Z
Gohan (kid),"3,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Krillin,"76,500",Dragon Ball Z: History of Trunks,Dragon Ball Z
Chiaotzu,"25,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Tien,"86,500",Dragon Ball Z: History of Trunks,Dragon Ball Z
Yamcha,"69,500",Dragon Ball Z: History of Trunks,Dragon Ball Z
Piccolo,"2,400,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Vegeta,"5,700,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Chi-chi,130,Dragon Ball Z: History of Trunks,Dragon Ball Z
Goku (at the time of his death),"6,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Goku (SSJ),"300,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Android 18,"5,000,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Android 17,"5,000,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Piccolo,"3,400,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Vegeta,"6,700,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Vegeta (SSJ),"335,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Yamcha,"70,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Tien,"87,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Krillin,"77,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Trunks,"800,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Gohan,"78,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Gohan (SSJ),"3,900,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Android 17 (less than 50%),"4,500,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Android 18,"(supressed, figting Trunks)",Dragon Ball Z: History of Trunks,Dragon Ball Z
Trunks (Zenkai),"1,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Gohan (Zenkai),"80,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Gohan (SSJ),"4,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Gohan (one year of training),"160,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Trunks (one year of training),"2,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Gohan (SSJ),"8,000,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Android 17 (full power),"10,000,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Android 18 (full power),"10,000,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Trunks (SSJ),"100,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Trunks,"6,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Trunks (SSJ),"300,000,000",Dragon Ball Z: History of Trunks,Dragon Ball Z
Pan,"10,000,000",Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Goku Jr,5 ,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Puck,1,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Pan (sick),"90,000",Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Truck Driver,3,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Mamba,15,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Torga,6,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Susha,6,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Bear,8,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Lord Yao,23,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Goku Jr. (SSJ),250,Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Goku Sr,"100,000,000,000",Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Pan,"10,000,000",Dragon Ball GT: A Hero's Legacy,Dragon Ball Z
Videl,4.5,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Mr. Satan,7,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Gohan,"40,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Chi-chi,130,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goku,"5,600,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goten,"39,200,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Master Roshi,139,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Android 18,"8,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Krillin,"2,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Yamcha,"1,250,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Piccolo,"1,440,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Vegeta,"5,600,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Trunks,"40,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Bulma,1.5,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Tien,"2,560,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Chiaotzu,"290,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Dende,8,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Yajirobe,"3,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
King Kai,"3,500",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Old Kai,"1,500,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Kibito Kai,"120,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Tarble,750,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Gure,4,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goku (on Tarble's scouter),5,Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goku (MSSJ),"280,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Abo,"120,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Kado,"120,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goten,"39,200,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Trunks,"40,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Aka,"24,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goten (SSJ),"1,960,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Trunks (SSJ),"2,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Fat Gotenks,"792,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Gotenks,"7,920,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Gotenks (MSSJ),"396,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Aka (full power),"48,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Goku (MSSJ),"280,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Vegeta (MSSJ),"280,000,000,000",Dragon Ball: Yo! Son Goku and His Friends Return ,Dragon Ball Z
Bardock,"10,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Frieza,"530,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Zarbon,"22,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Dodoria,"21,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Bardock's Final Spirit Cannon,"24,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Frieza's Supernova,"750,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Bardock (Zenkai),"50,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Toobi,"20,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Cabira,"21,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Chilled (calm),"680,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Chilled (full power),"1,120,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Bardock (SSJ),"2,500,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Chilled's Death Ball,"8,000,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
Bardock's Final Spirit Cannon,"13,000,000",Dragon Ball: Episode of Bardock,Dragon Ball Z
King Kai,"3,500",Movie 14: Battle of Gods,Dragon Ball Z
Old Kai,"1,500,000",Movie 14: Battle of Gods,Dragon Ball Z
Kibito Kai,"120,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku,"11,200,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Beerus,"18,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Whis,"21,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Bulma,1.5,Movie 14: Battle of Gods,Dragon Ball Z
Vegeta,"11,200,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku (MSSJ),"560,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku (SSJ2),"1,120,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku (SSJ3),"4,480,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Master Roshi,139,Movie 14: Battle of Gods,Dragon Ball Z
Piccolo,"72,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Android 18,"8,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Krillin,"4,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Yamcha,"2,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Tien,"5,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Trunks,"80,00,000",Movie 14: Battle of Gods,Dragon Ball Z
Goten,"78,400,000",Movie 14: Battle of Gods,Dragon Ball Z
Videl,5,Movie 14: Battle of Gods,Dragon Ball Z
Good Buu,"400,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Gohan,"40,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Ultimate Gohan,"4,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Gotenks,"15,840,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Gotenks (MSSJ),"792,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Vegeta (SSJ2),"1,120,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
"Vegeta (SSJ2, angry)","8,960,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Vegeta,"22,400,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goten (MSSJ),"3,920,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Trunks (MSSJ),"4,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Gohan (SSJ2),"4,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
"Goku (MSSJ, energy gathered)","2,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
"Goku (SSJG, 80%)","195,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Beerus,"200,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
"Goku (SSJG, full power)","224,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Beerus (70%),"640,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku (base with SSJG power),"448,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku (MSSJ with SSJG's power),"22,400,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku (SSJG),"224,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
Goku,"44,800,000,000",Movie 14: Battle of Gods,Dragon Ball Z
"Beerus (full power, never shown)","896,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
"Whis (full power, never shown)","4,480,000,000,000,000",Movie 14: Battle of Gods,Dragon Ball Z
